Password,Rule,Length,Strength
B2C!uWNk1VhcMN6O,30,16,95.23666697176999
ZcnboUtk4GPgt@5V,30,16,95.23666697176999
m04Z8zuSkXqtHmvc,30,16,86.02259380703764
XLYnWVQE7dnQJIum,30,16,86.02259380703764
pVDPOJHkukoYDZmU,30,16,82.42061569222463
01hzWCSZBuYOChar,30,16,86.02259380703764
a3JP1Pe66krTZrIA,30,16,86.02259380703764
IqZT6DxV!jUSWHUc,30,16,95.23666697176999
NB51lYidJt!BXBMG,30,16,95.23666697176999
iJFru2I8K@bzzW6L,30,16,95.23666697176999
5YM0BaEIoDCd1u57,30,16,86.02259380703764
XkaSSFvrozaC!Znb,30,16,91.8903260740085
qDv3FdqZIjMRUXSt,30,16,86.02259380703764
0@J1JjwmCSpx5dwJ,30,16,95.23666697176999
MU9AdECZlM2KHETy,30,16,86.02259380703764
Bv0As3I!wpWAKKWd,30,16,95.23666697176999
Q25MaWmRh1JmJbG7,30,16,86.02259380703764
AhgxYoNC2xRqYXAK,30,16,86.02259380703764
y6i2OwYx4RLIgFi4,30,16,86.02259380703764
Vf!2NpTHNeFokxay,30,16,95.23666697176999
j7p1nb4Xj3upck4!,30,16,95.23666697176999
VihA93tNIq457jAb,30,16,86.02259380703764
XL9mNV8fzz38UjBv,30,16,86.02259380703764
64dBUGzooaZJz5@Q,30,16,95.23666697176999
XRKWJjIIKfbet!Rw,30,16,91.8903260740085
5QWJvjGCQDEpnyz4,30,16,86.02259380703764
cLKFazfmoKQByx44,30,16,86.02259380703764
CBId3RCP7XW6tWFA,30,16,86.02259380703764
3r18H1XDitpMXRul,30,16,86.02259380703764
1QZacV0mEyq1tYFk,30,16,86.02259380703764
KwdEmPkTucQ1@eo2,30,16,95.23666697176999
dkhkk!qqBLXtZlJj,30,16,91.8903260740085
D9IWe8Gtjz9kKIn1,30,16,86.02259380703764
93lxMUQaGiP6tgI0,30,16,86.02259380703764
8bsTv61jIj4KGGk9,30,16,86.02259380703764
Q1zF4RnLuCQ3hhTB,30,16,86.02259380703764
PNsdHhLxpvZw7rQo,30,16,86.02259380703764
1IJl7si@dmZJI9rh,30,16,95.23666697176999
xGTdytq1O!rRxCrC,30,16,95.23666697176999
wha@6NQhbm89U38F,30,16,95.23666697176999
oeyKc1PMzbnGtSUz,30,16,86.02259380703764
2zhIkP5k!MOcw6du,30,16,95.23666697176999
Ds5f5gttWYaAhqn!,30,16,95.23666697176999
vNYvah!4rmOGByjD,30,16,95.23666697176999
3Ym4ZwNOz2E@yyeN,30,16,95.23666697176999
T5KjLFfJ8AeuY@dC,30,16,95.23666697176999
o6GgQAigXExBsisl,30,16,86.02259380703764
